City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Banikoara,BJ,73.31,few clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
1,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.0833,Scoop Guest House
3,Bonthe,SL,76.5,clear sky,7.5264,-12.505,Bonthe Holiday Village
5,Cabo San Lucas,MX,72.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Maragogi,BR,79.79,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
9,Ulladulla,AU,72.5,broken clouds,-35.35,150.4667,Sandpiper Motel
10,Soyo,AO,76.87,scattered clouds,-6.1349,12.3689,Hotel Mpampa
14,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
15,Vanimo,PG,79.79,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
23,Butaritari,KI,81.88,light rain,3.0707,172.7902,Isles Sunset Lodge
24,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
25,Amahai,ID,84.58,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
26,Esperance,AU,76.84,light rain,-33.8667,121.9,Hospitality Esperance
27,Las Vegas,US,81.28,clear sky,36.175,-115.1372,Plaza Hotel & Casino
28,Ambilobe,MG,72.72,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
30,Rikitea,PF,79.18,light rain,-23.1203,-134.9692,People ThankYou
33,Chuy,UY,72.55,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
36,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
39,La Huacana,MX,73.29,clear sky,18.9667,-101.8167,Hotel Yunuen
40,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
44,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Sao Jose Do Egito,BR,74.12,moderate rain,-7.4789,-37.2744,Fênix Hotel e Restaurante Sabor do Pajeú
52,Bubaque,GW,78.94,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
54,Sinnamary,GF,76.15,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
56,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
58,Kisaran,ID,73.69,overcast clouds,2.9845,99.6158,Penginapan Batubara1
61,East London,ZA,72.0,clear sky,-33.0153,27.9116,Tu Casa
65,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
67,Tomatlan,MX,72.77,scattered clouds,19.9333,-105.25,El Salvial
71,Hobyo,SO,75.25,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
72,Ukiah,US,80.49,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
76,Buenavista,PH,81.86,broken clouds,8.9769,125.4089,Room For Rent
78,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
