City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lasa,46.6166,10.7002,54.86,33,5,2.8,IT,2022-02-09 17:38:24
1,Upernavik,72.7868,-56.1549,-12.21,68,96,8.72,GL,2022-02-09 17:38:24
2,Cape Town,-33.9258,18.4232,73.89,71,0,12.66,ZA,2022-02-09 17:37:24
3,Bluff,-46.6,168.3333,59.81,97,100,3.8,NZ,2022-02-09 17:38:25
4,Tambura,5.6,27.4667,82.06,22,19,4.54,SS,2022-02-09 17:38:25
5,Thompson,55.7435,-97.8558,-3.84,71,75,5.75,CA,2022-02-09 17:38:18
6,Kapaa,22.0752,-159.319,71.92,79,20,9.22,US,2022-02-09 17:38:09
7,Saint George,37.1041,-113.5841,57.34,33,0,0.0,US,2022-02-09 17:36:50
8,Rikitea,-23.1203,-134.9692,78.71,68,4,16.06,PF,2022-02-09 17:38:07
9,Fortuna,40.5982,-124.1573,64.74,87,0,5.75,US,2022-02-09 17:38:26
10,Chokurdakh,70.6333,147.9167,-37.39,99,84,8.72,RU,2022-02-09 17:38:26
11,Saskylakh,71.9167,114.0833,-10.98,97,37,7.14,RU,2022-02-09 17:38:26
12,Qaanaaq,77.484,-69.3632,-21.98,76,83,5.61,GL,2022-02-09 17:38:27
13,Tasiilaq,65.6145,-37.6368,17.76,63,50,7.74,GL,2022-02-09 17:38:17
14,Klaksvik,62.2266,-6.589,32.92,89,98,22.19,FO,2022-02-09 17:36:35
15,Naze,28.3667,129.4833,57.13,88,99,5.93,JP,2022-02-09 17:38:27
16,Severo-Kurilsk,50.6789,156.125,30.79,93,100,17.6,RU,2022-02-09 17:38:28
17,Luganville,-15.5333,167.1667,78.26,87,100,8.63,VU,2022-02-09 17:38:28
18,Saint-Philippe,-21.3585,55.7679,78.39,78,98,6.98,RE,2022-02-09 17:38:28
19,Poum,-20.2333,164.0167,81.28,87,100,28.36,NC,2022-02-09 17:38:29
20,Busselton,-33.65,115.3333,62.1,69,10,12.53,AU,2022-02-09 17:38:06
21,Punta Arenas,-53.15,-70.9167,53.71,37,40,29.93,CL,2022-02-09 17:36:44
22,Omboue,-1.5746,9.2618,79.14,87,42,7.85,GA,2022-02-09 17:38:29
23,Kalmunai,7.4167,81.8167,75.6,83,81,7.67,LK,2022-02-09 17:38:30
24,Barrow,71.2906,-156.7887,-25.58,68,0,14.97,US,2022-02-09 17:38:30
25,Canar,-2.55,-78.9333,59.04,74,79,2.28,EC,2022-02-09 17:38:30
26,Victoria,22.2855,114.1577,63.95,85,100,5.99,HK,2022-02-09 17:36:18
27,Castro,-24.7911,-50.0119,74.17,65,45,3.42,BR,2022-02-09 17:38:31
28,Port Alfred,-33.5906,26.891,69.51,81,0,7.87,ZA,2022-02-09 17:38:31
29,New Richmond,45.123,-92.5366,36.03,75,100,12.66,US,2022-02-09 17:35:07
30,Airai,-8.9266,125.4092,61.93,91,100,1.14,TL,2022-02-09 17:38:31
31,Kodiak,57.79,-152.4072,24.31,68,75,27.63,US,2022-02-09 17:38:32
32,Chornobay,49.6708,32.3239,31.71,93,94,9.95,UA,2022-02-09 17:38:32
33,Tlaxco,19.6167,-98.1167,55.29,45,1,3.02,MX,2022-02-09 17:38:32
34,Talaya,61.3833,152.75,-34.2,87,87,1.01,RU,2022-02-09 17:38:33
35,Bilma,18.6853,12.9164,71.38,7,0,10.38,NE,2022-02-09 17:38:33
36,Soure,-0.7167,-48.5233,82.42,74,73,7.76,BR,2022-02-09 17:38:34
37,Burnie,-41.0667,145.9167,57.94,87,78,8.16,AU,2022-02-09 17:38:34
38,Atuona,-9.8,-139.0333,77.9,78,25,18.39,PF,2022-02-09 17:38:10
39,Tautira,-17.7333,-149.15,84.22,78,73,17.09,PF,2022-02-09 17:38:34
40,Hermanus,-34.4187,19.2345,69.8,82,0,12.93,ZA,2022-02-09 17:38:16
41,Cherskiy,68.75,161.3,-44.81,100,76,4.41,RU,2022-02-09 17:35:10
42,Shenjiamen,29.9576,122.298,43.65,86,100,8.81,CN,2022-02-09 17:38:35
43,Pervomayskoye,43.919,46.7102,43.93,83,86,2.39,RU,2022-02-09 17:38:35
44,Armidale,-30.5167,151.65,50.92,89,0,2.71,AU,2022-02-09 17:39:36
45,Santa Maria Del Oro,25.9333,-105.3667,57.56,20,40,1.23,MX,2022-02-09 17:39:36
46,Albany,42.6001,-73.9662,40.26,56,10,1.99,US,2022-02-09 17:39:36
47,Mataura,-46.1927,168.8643,59.49,99,100,2.19,NZ,2022-02-09 17:39:37
48,Avarua,-21.2078,-159.775,75.25,94,100,1.14,CK,2022-02-09 17:38:10
49,The Valley,18.217,-63.0578,82.26,83,40,10.36,AI,2022-02-09 17:39:37
50,Jamestown,42.097,-79.2353,47.52,52,0,12.66,US,2022-02-09 17:35:10
51,Chuy,-33.6971,-53.4616,75.22,55,50,10.67,UY,2022-02-09 17:38:15
52,Luderitz,-26.6481,15.1594,75.51,52,1,19.71,NA,2022-02-09 17:39:38
