City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Banikoara,11.2985,2.4386,73.31,13,15,5.28,few clouds,BJ,2022-02-12 00:52:29
1,Puerto Ayora,-0.7393,-90.3518,72.55,100,60,1.01,broken clouds,EC,2022-02-12 00:52:29
2,Hithadhoo,-0.6,73.0833,81.14,69,100,8.97,overcast clouds,MV,2022-02-12 00:52:29
3,Bonthe,7.5264,-12.505,76.5,94,8,3.71,clear sky,SL,2022-02-12 00:50:23
4,Albany,42.6001,-73.9662,51.8,57,100,1.01,overcast clouds,US,2022-02-12 00:52:30
5,Cabo San Lucas,22.8909,-109.9124,72.61,66,0,1.01,clear sky,MX,2022-02-12 00:49:31
6,Bredasdorp,-34.5322,20.0403,62.28,94,8,3.42,clear sky,ZA,2022-02-12 00:52:30
7,Maragogi,-9.0122,-35.2225,79.79,77,27,9.8,scattered clouds,BR,2022-02-12 00:49:48
8,Mataura,-46.1927,168.8643,59.49,50,99,9.28,overcast clouds,NZ,2022-02-12 00:52:30
9,Ulladulla,-35.35,150.4667,72.5,76,84,12.03,broken clouds,AU,2022-02-12 00:52:31
10,Soyo,-6.1349,12.3689,76.87,86,33,5.53,scattered clouds,AO,2022-02-12 00:52:31
11,Kruisfontein,-34.0033,24.7314,61.21,85,0,3.18,clear sky,ZA,2022-02-12 00:50:13
12,Klaksvik,62.2266,-6.589,40.12,97,100,31.14,overcast clouds,FO,2022-02-12 00:52:31
13,Coquimbo,-29.9533,-71.3436,64.67,86,1,4.34,clear sky,CL,2022-02-12 00:52:32
14,Denpasar,-8.65,115.2167,80.26,88,20,5.75,few clouds,ID,2022-02-12 00:52:32
15,Vanimo,-2.6741,141.3028,79.79,86,100,2.71,overcast clouds,PG,2022-02-12 00:52:32
16,Hermanus,-34.4187,19.2345,64.9,90,0,8.19,clear sky,ZA,2022-02-12 00:52:33
17,Busselton,-33.65,115.3333,69.08,68,13,8.86,few clouds,AU,2022-02-12 00:52:33
18,Chokurdakh,70.6333,147.9167,-4.09,96,100,13.33,overcast clouds,RU,2022-02-12 00:49:54
19,Clyde River,70.4692,-68.5914,-16.37,76,100,31.07,snow,CA,2022-02-12 00:52:33
20,Punta Arenas,-53.15,-70.9167,57.31,72,75,25.32,broken clouds,CL,2022-02-12 00:48:56
21,Onokhoy,51.932,108.0747,-25.85,98,71,1.86,broken clouds,RU,2022-02-12 00:52:34
22,Hobart,-42.8794,147.3294,68.22,48,40,8.05,scattered clouds,AU,2022-02-12 00:52:34
23,Butaritari,3.0707,172.7902,81.88,78,73,15.43,light rain,KI,2022-02-12 00:52:34
24,Carnarvon,-24.8667,113.6333,87.87,55,3,8.05,clear sky,AU,2022-02-12 00:52:34
25,Amahai,-3.3333,128.9167,84.58,67,99,1.01,overcast clouds,ID,2022-02-12 00:52:15
26,Esperance,-33.8667,121.9,76.84,92,100,5.21,light rain,AU,2022-02-12 00:52:35
27,Las Vegas,36.175,-115.1372,81.28,13,0,14.97,clear sky,US,2022-02-12 00:51:08
28,Ambilobe,-13.2,49.05,72.72,96,100,3.18,overcast clouds,MG,2022-02-12 00:52:35
29,Aswan,24.0934,32.907,51.1,50,0,4.61,clear sky,EG,2022-02-12 00:52:36
30,Rikitea,-23.1203,-134.9692,79.18,74,0,16.87,light rain,PF,2022-02-12 00:52:36
31,Novyy Svit,47.8059,38.0211,38.35,92,100,6.04,overcast clouds,UA,2022-02-12 00:52:36
32,Buenos Aires,-34.6132,-58.3772,64.94,57,100,16.11,overcast clouds,AR,2022-02-12 00:49:18
33,Chuy,-33.6971,-53.4616,72.55,85,50,13.78,scattered clouds,UY,2022-02-12 00:52:37
34,Novoagansk,61.9449,76.6625,-15.03,99,6,6.6,clear sky,RU,2022-02-12 00:52:37
35,Duldurga,50.6761,113.5931,-12.51,93,79,3.04,broken clouds,RU,2022-02-12 00:52:37
36,Kapaa,22.0752,-159.319,81.48,63,0,9.22,clear sky,US,2022-02-12 00:50:44
37,Cervo,43.6702,-7.4101,52.97,87,100,7.11,overcast clouds,ES,2022-02-12 00:52:37
38,Avarua,-21.2078,-159.775,84.25,74,54,10.36,broken clouds,CK,2022-02-12 00:49:51
39,La Huacana,18.9667,-101.8167,73.29,27,0,2.71,clear sky,MX,2022-02-12 00:52:38
40,Geraldton,-28.7667,114.6,81.01,61,8,5.75,clear sky,AU,2022-02-12 00:52:38
41,Ponta Do Sol,32.6667,-17.1,64.71,72,12,6.89,few clouds,PT,2022-02-12 00:52:38
42,Akom,2.6678,12.7109,66.54,52,19,3.27,few clouds,CM,2022-02-12 00:52:39
43,Yellowknife,62.456,-114.3525,-10.71,76,75,2.3,light snow,CA,2022-02-12 00:52:39
44,Saint-Philippe,-21.3585,55.7679,76.59,71,22,5.59,few clouds,RE,2022-02-12 00:48:14
45,Sao Jose Do Egito,-7.4789,-37.2744,74.12,71,91,4.47,moderate rain,BR,2022-02-12 00:52:39
46,Maragheh,37.3917,46.2398,30.47,86,0,2.3,clear sky,IR,2022-02-12 00:53:40
47,Awbari,26.5921,12.7805,48.58,36,0,6.93,clear sky,LY,2022-02-12 00:51:38
48,New Norfolk,-42.7826,147.0587,67.87,37,9,1.99,clear sky,AU,2022-02-12 00:50:23
49,Ribeira Grande,38.5167,-28.7,60.15,75,100,11.81,overcast clouds,PT,2022-02-12 00:53:40
50,Kaitangata,-46.2817,169.8464,62.92,53,100,9.13,overcast clouds,NZ,2022-02-12 00:53:40
51,Barrow,71.2906,-156.7887,-27.6,100,68,7.31,broken clouds,US,2022-02-12 00:53:41
52,Bubaque,11.2833,-15.8333,78.94,69,3,5.86,clear sky,GW,2022-02-12 00:49:25
53,Nouadhibou,20.931,-17.0347,69.78,52,68,12.66,broken clouds,MR,2022-02-12 00:53:41
54,Sinnamary,5.3833,-52.95,76.15,89,61,9.48,broken clouds,GF,2022-02-12 00:50:49
55,Ushuaia,-54.8,-68.3,49.66,93,100,6.91,heavy intensity rain,AR,2022-02-12 00:53:41
56,Padang,-0.9492,100.3543,75.25,73,100,2.66,overcast clouds,ID,2022-02-12 00:53:42
57,Upernavik,72.7868,-56.1549,-11.04,77,100,17.27,overcast clouds,GL,2022-02-12 00:53:42
58,Kisaran,2.9845,99.6158,73.69,96,100,2.21,overcast clouds,ID,2022-02-12 00:53:42
59,Tuktoyaktuk,69.4541,-133.0374,-22.0,69,75,6.91,broken clouds,CA,2022-02-12 00:50:44
